mid. w2 +1 w1 w2 eos +2 eos mid. mid. -1	0 5	0 5
w1 w1 +1 w3 rep. w2 rep. rep. -1 -2 -3 +1 w1 -1 +2 +2 +3 +1 mid. mid.	0 0 1 1 2 3 3 3 3 4 4 4 4 5 5 5 6 6 6 7 7 7 8 7	0 0 1 1 2 3 3 3 3 4 4 4 4 5 5 5 6 6 6 7 7 7 8 7
+1 w2 w2 w1 eos eos +2 -3 +1 eos -2 w2 mid.	0 1 1 1 2 2 2 3 3 4	0 1 1 1 2 2 2 3 3 4
w2 -1 -1 w3 +1 w2 eos rep. -3 -3 -2 -1 -2 +2 w3 mid.	0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1	0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1
w2 mid. +2 eos eos -2 eos eos -3 fin. +3 +2 +2 -1 eos rep. w2 w3 +1 -1	0 0 0 1 9 19 18 19 18 19 18 19 18 19 18 19 18 19 18 19 18 19 18 19	0 0 0 1 9 19 18 19 18 19 18 19 18 19 18 19 18 19 18 19 18 19 18 19
w3 w2 +3 +2 eos rep. fin. rep. -2 mid. -1	0 0 0 0 1 1 1 2 5 8 6 10 9 5 5 5 5 5 5 5 5 5 5 5	0 0 0 0 1 1 1 2 5 8 6 10 9 5 5 5 5 5 5 5 5 5 5 5
w1 mid. -2 eos rep. +3 +1 w1 fin. eos ini. w2 +1 -1 w3 +3 +1 mid. -1	0 0 1 9	0 0 1 9
+1 w3 -2 ini. rep. -2 -2 ini. eos w2 -1 eos w1 fin. eos -1 +1 mid.	0 1 1 1 1 2 0 1 1 1 1 2 0 1 1 1 1 2 0 1 1 1 1 2	0 1 1 1 1 2 0 1 1 1 1 2 0 1 1 1 1 2 0 1 1 1 1 2
+2 w2 w2 eos eos eos eos rep. eos w3 w3 -3 mid.	0 2 2 2 3	0 2 2 2 3
w2 mid. w2 rep. +1 ini. +3 w1 eos eos mid. w3 mid.	0 0 0 1 6 9	0 0 0 1 6 9
+2 w3 w3 +3 eos w2 eos w3 +2 +1 mid.	0 2 2 2 2 3 6	0 2 2 2 2 3 6
w2 w1 mid. rep. -3 eos eos +1 w2 fin. -1 -1 fin. +1 w1 mid.	0 0 0 1 1 2 7 8 8 8 9 15 7 8 8 8 9 15 7 8 8 8 9 15	0 0 0 1 1 2 7 8 8 8 9 15 7 8 8 8 9 15 7 8 8 8 9 15
w1 +1 w1 +3 fin. w1 eos eos eos w3 mid. -1	0 0 1 2 2 3 6	0 0 1 2 2 3 6
mid. w1 mid. eos eos eos +1 -2 +1 eos w3 w1 -2 w1 -3	0 7 5	0 7 5
+3 -1 mid. fin. w2 ini. rep. eos eos eos eos -3 +1 mid.	0 3 13 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6	0 3 13 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
w3 w3 +3 eos +1 -2 -1 w3 +2 eos w1 mid. -1	0 0 0 0 1 1 1 1 2 5 3	0 0 0 0 1 1 1 1 2 5 3
mid. mid. w1 w2 rep. w3 eos w1 ini. eos fin. -2 w1 +2 w1 -2 mid.	0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8	0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8
+1 mid. w1 eos eos -2 +1 w2 +2 mid. w3 mid.	0 1 5 3	0 1 5 3
w1 mid. +3 ini. eos fin. eos eos w2 w1 -2	0 0 1 5 10 8 8 8 9 9 10 8 8 8 9 9 10 8 8 8 9 9 10 8	0 0 1 5 10 8 8 8 9 9 10 8 8 8 9 9 10 8 8 8 9 9 10 8
mid. +2 mid. fin. -2 w2 eos -3 eos mid. -2 mid.	0 5 5 5 6	0 5 5 5 6
mid. +2 mid. +3 +1 rep. -1 eos eos w2 fin. -3 +3 -1 +3 w1 w2 mid.	0 8	0 8
+2 mid. w2 eos w2 ini. -3 -3 eos eos -3 -1 w2 +1 -2	0 2 2 2 3	0 2 2 2 3
w3 +1 w1 eos eos w3 +1 fin. +1 w3 ini. mid. +1 mid.	0 0 0 0 1 2 2 3	0 0 0 0 1 2 2 3
w2 +3 mid. fin. -1 +1 ini. rep. +2 w1 eos -3 ini. eos w3 w2 -3	0 0 0 1 4 3 16 13	0 0 0 1 4 3 16 13
w3 w2 +1 ini. rep. +1 -1 eos w1 +2 +1 +2 w3 mid. mid. mid.	0 0 0 0 1 1 1 2 3 0 0 0 0 1 1 1 2 3 0 0 0 0 1 1	0 0 0 0 1 1 1 2 3 0 0 0 0 1 1 1 2 3 0 0 0 0 1 1
mid. +2 +2 +3 +2 w2 -1 eos w1 -2 eos rep. w2 +2 w2 w1 w2 -1	0 8 8 9 7	0 8 8 9 7
w1 +2 w2 +1 w1 w2 -1 eos +1 ini. eos ini. rep. eos -3 -2 mid.	0 0 1 3 4 4 5 5 5 6 5 5 5 6 5 5 5 6 5 5 5 6 5 5	0 0 1 3 4 4 5 5 5 6 5 5 5 6 5 5 5 6 5 5 5 6 5 5
mid. mid. mid. -3 +2 -3 +3 +3 eos -1 w1 -3 +3 +2 mid. w3 -3	0 8	0 8
w2 mid. -2 eos +3 -2 +3 -2 -3 fin. rep. fin. w2 eos w2 mid. -3	0 0 0 1 8 5 3	0 0 0 1 8 5 3
mid. mid. -2 ini. -2 ini. eos -3 eos -3 -3 rep. -2 -1 -3	0 7 4 2 0 7 4 2 0 7 4 2 0 7 4 2 0 7 4 2 0 7 4 2	0 7 4 2 0 7 4 2 0 7 4 2 0 7 4 2 0 7 4 2 0 7 4 2
w2 mid. mid. -1 eos w1 w1 w2 +2 eos -1 rep. -2 +1 -1	0 0 0 1 7 7 7 8 10 9	0 0 0 1 7 7 7 8 10 9
+2 +1 -1 eos rep. w3 eos eos w2 -2 -3 -1	0 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	0 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
mid. w3 +2 +2 eos eos -1 +1 eos -3 fin. mid. -3 -2	0 6 5	0 6 5
w3 w1 +3 w3 +2 ini. w1 ini. +1 ini. -3 w1 +3 eos w3 -1 -3	0 0 0 0 1 1 2 5 0 0 0 0 1 1 2 5 0 0 0 0 1 1 2 5	0 0 0 0 1 1 2 5 0 0 0 0 1 1 2 5 0 0 0 0 1 1 2 5
w1 +2 w2 +3 eos fin. fin. +1 eos w3 rep. w1 eos w1 eos mid. w3 mid.	0 0 1 3 6 17 8	0 0 1 3 6 17 8
w2 -1 mid. -1 eos w1 -3 +1 -1 +3 -3 fin. -2 w3 -2 mid. -2	0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1	0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1
+1 +2 mid. w3 -2 +2 eos ini. eos +3 rep. -1 +2 +3 w1 fin. w3 -1 -3	0 1 3 3 3 3 4 2 9 12 14 14 15 18 15 18 15 18 15 18 15 18 15 18	0 1 3 3 3 3 4 2 9 12 14 14 15 18 15 18 15 18 15 18 15 18 15 18
+3 w3 w2 eos +1 -3 ini. +1 -2 +3 -1 -2 mid.	0 3	0 3
mid. mid. -2 eos ini. eos w3 fin. -1 fin. eos w3 ini. -1 -1 mid. w3 -2	0 8 7 17 15 8 7 17 15 8 7 17 15 8 7 17 15 8 7 17 15 8 7 17	0 8 7 17 15 8 7 17 15 8 7 17 15 8 7 17 15 8 7 17 15 8 7 17
mid. w1 +1 +3 w1 w3 w1 +2 eos -2 rep. -3 -1 -2 -3	0 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7	0 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7 9 7
w3 mid. mid. rep. fin. rep. w3 w2 w2 eos +1 -2 +1 mid.	0 0 0 0 1 6 6 6 6 7 7 7 8 8 8 9	0 0 0 0 1 6 6 6 6 7 7 7 8 8 8 9
+3 mid. +1 w3 w3 eos -2 w3 -2 -1 -2 -3 rep. +2 -3 w3 -3	0 3 3 3 3 4 4 4 4 5	0 3 3 3 3 4 4 4 4 5
+1 w3 w1 w2 eos eos eos +2 -1 w1 w1 w3 -2	0 1 1 1 1 2 2 3 3 3 4	0 1 1 1 1 2 2 3 3 3 4
+2 w3 mid. w2 w1 +3 -2 rep. +1 ini. +2 -3 w1 w2 w1 mid.	0 2 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7	0 2 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7
mid. +2 +2 rep. eos +2 +2 -3 ini. -1 w3 -3 w1 eos w3 w1 mid.	0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8	0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8 0 8
+3 w2 mid. +1 ini. w2 -2 +2 ini. w1 +2 +2 eos w3 mid. mid.	0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4	0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4
+1 w2 w2 fin. -3 +1 -1 -1 ini. eos eos -1 -1 -1	0 1 1 1 2 2 2 3 13 12 11 10	0 1 1 1 2 2 2 3 13 12 11 10
mid. mid. -2 w3 w2 w2 +3 -1 -2 eos -1 ini. -1 eos ini. eos mid. -2 -1	0 9	0 9
mid. +2 -2 w2 -1 -3 w3 eos eos rep. eos +2 -1 -1 mid. mid.	0 7	0 7
+1 -1 +2 +1 eos -3 w1 w1 eos w3 eos -1 w2 w3 mid.	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1	0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1
+3 +2 mid. -2 w2 eos +3 -2 +1 ini. eos +1 w3 mid. -2 mid.	0 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3	0 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3
mid. mid. -1 eos fin. fin. -1 +3 eos rep. eos +1 ini. -2 +3 eos -1 mid. mid.	0 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9	0 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
mid. mid. mid. +2 +2 eos -3 w2 +3 -1 eos eos w1 mid. mid.	0 7 7 7 8 11	0 7 7 7 8 11
mid. w2 mid. fin. -2 w3 +3 +2 fin. fin. eos +1 w3 w3 +3 -1 eos mid. mid. -3	0 9 19 16	0 9 19 16
+3 fin. +1 eos +1 ini. +2 -3 +2 -2 eos +2 mid. -1	0 3	0 3
w1 mid. w2 eos -3 eos eos w1 mid. -3 -2	0 0 1 5	0 0 1 5
w2 +3 +2 -1 eos -1 w3 -1 +3 -2 w3 -2 w2 -1	0 0 0 1 4	0 0 0 1 4
w1 mid. w1 eos w1 w2 w3 +1 -1 w2 -1	0 0 1 5 5 5 6 6 6 6 7 8 7 8 7 8 7 8 7 8 7 8 7 8	0 0 1 5 5 5 6 6 6 6 7 8 7 8 7 8 7 8 7 8 7 8 7 8
+2 +3 -2 rep. rep. +2 fin. +3 -2 fin. -2 +2 eos -3 -3 fin. -2 mid. mid. -3	0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2	0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2
mid. -1 mid. -3 ini. -1 rep. +1 eos w3 fin. fin. mid. -2 mid.	0 7 8	0 7 8
+1 +2 -2 fin. +1 -2 rep. eos eos +2 w3 w2 w2 -2	0 1 3 13 11 11 11 12 12 12 13 11 11 11 12 12 12 13 11 11 11 12 12 12	0 1 3 13 11 11 11 12 12 12 13 11 11 11 12 12 12 13 11 11 11 12 12 12
+1 w3 mid. fin. w3 -2 fin. -3 +1 -1 -2 +1 mid. -1	0 1 1 1 1 2 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12	0 1 1 1 1 2 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12
+3 w3 +1 +1 w3 fin. +3 eos +3 +2 -3 rep. -3 +2 w3 w3 fin. -3 -1 -2	0 3 4 4 4 4 5 19 17 14 14 14 14 15 15 15 15 16 19 17 14 14 14 14	0 3 4 4 4 4 5 19 17 14 14 14 14 15 15 15 15 16 19 17 14 14 14 14
mid. +2 -2 +2 ini. -2 +2 -1 +3 -1 -3 rep. w1 eos eos mid. -2 mid.	0 8 11 14	0 8 11 14
+3 +3 -2 -3 w2 -1 rep. eos -1 +1 rep. +1 eos fin. eos fin. -1 w3 w1 mid.	0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3	0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3
mid. -1 +3 w3 eos +2 fin. +3 +1 eos -1 -2 ini. -1	0 6 13 12 0 6 13 12 0 6 13 12 0 6 13 12 0 6 13 12 0 6 13 12	0 6 13 12 0 6 13 12 0 6 13 12 0 6 13 12 0 6 13 12 0 6 13 12
w3 mid. +1 eos eos -3 w2 -1 rep. +1 +3 eos w1 +1 mid.	0 0 0 0 1 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6	0 0 0 0 1 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6 6 7 6 6
mid. +3 -1 +2 rep. ini. -2 w3 +2 +2 eos w3 ini. w2 w1 fin. w3 mid. mid.	0 9 11 11 11 11 12 0 9 11 11 11 11 12 0 9 11 11 11 11 12 0 9 11	0 9 11 11 11 11 12 0 9 11 11 11 11 12 0 9 11 11 11 11 12 0 9 11
+2 mid. w2 +1 -1 rep. fin. -2 eos w2 eos +2 eos -3 -2 +2 w3 mid. -1	0 2 2 2 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4	0 2 2 2 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4 3 4
+2 +3 +1 +3 eos fin. -2 w3 w3 eos +1 w2 w1 -1	0 2 3 6 4	0 2 3 6 4
+2 w3 w1 w1 eos +3 -3 w2 eos ini. rep. eos rep. -1 w1 -2	0 2 2 3 3 4	0 2 2 3 3 4
+2 -1 +2 +3 w1 -3 -2 w1 -1 w1 ini. fin. w1 eos -3 w3 +2 w2 mid. -3	0 2 4 4 5 2 4 4 5 2 4 4 5 2 4 4 5 2 4 4 5 2 4 4	0 2 4 4 5 2 4 4 5 2 4 4 5 2 4 4 5 2 4 4 5 2 4 4
+1 +2 w1 w1 eos -1 rep. eos eos +3 -2 -2 mid. mid.	0 1 3 3 4	0 1 3 3 4
+1 mid. +3 ini. w1 -1 w1 w1 eos +2 eos mid. w1 -3	0 1 6 6 7 7 8	0 1 6 6 7 7 8
w1 +1 -1 eos eos eos eos +3 -3 -1 mid.	0 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	0 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
w3 +3 mid. +1 +2 -3 fin. eos eos w3 +2 +3 rep. w2 +2 w3 mid.	0 0 0 0 1 4 6 16 8	0 0 0 0 1 4 6 16 8
+3 +1 w2 eos eos w2 eos eos mid. -1 -2	0 3	0 3
mid. mid. mid. +3 w1 +1 eos +3 +2 rep. w3 fin. w2 +2 -2 w3 mid.	0 8 10 10 10 10 11 16 8 10 10 10 10 11 16 8 10 10 10 10 11 16 8 10	0 8 10 10 10 10 11 16 8 10 10 10 10 11 16 8 10 10 10 10 11 16 8 10
+3 +3 mid. -2 w2 ini. eos eos +3 w3 ini. w1 -3 -3 mid. -3	0 3 1 4 4 4 5 0 3 1 4 4 4 5 0 3 1 4 4 4 5 0 3 1	0 3 1 4 4 4 5 0 3 1 4 4 4 5 0 3 1 4 4 4 5 0 3 1
w2 +2 mid. rep. +1 w3 +1 eos mid. mid. mid.	0 0 0 1 3 5 5 5 5 6 7	0 0 0 1 3 5 5 5 5 6 7
+2 +3 -2 eos ini. eos fin. w3 w3 fin. eos +2 rep. rep. -1 -1 -1	0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2	0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2
mid. +1 +2 -2 w3 eos -1 eos +3 eos -1 +3 -3 mid. mid. -1	0 7	0 7
w3 w3 mid. eos +1 ini. rep. eos -3 +2 fin. -2 rep. -3 +2 w3 mid.	0 0 0 0 1 1 1 1 2 8 5 0 0 0 0 1 1 1 1 2 8 5 0 0	0 0 0 0 1 1 1 1 2 8 5 0 0 0 0 1 1 1 1 2 8 5 0 0
+3 w2 -1 +1 ini. eos w1 w2 eos rep. -2 w1 -2 -2 w3 mid.	0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4	0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4 0 3 4
mid. w3 mid. eos eos fin. fin. rep. mid. mid. mid.	0 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5	0 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5 10 5
+3 +2 mid. eos eos eos w3 -2 -3 -3 +1 -3 -3	0 3	0 3
w2 w1 -2 fin. ini. fin. -2 w2 +3 -1 ini. -2 w2 -3 w3 w3 mid.	0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2	0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2 0 0 0 1 1 2
+3 +1 +2 fin. eos w1 +3 w3 rep. -1 eos -3 rep. w1 eos rep. -1 mid. -3 mid.	0 3 19 9 8 7 7 7 7 8 8 8 8 9 8 7 7 7 7 8 8 8 8 9	0 3 19 9 8 7 7 7 7 8 8 8 8 9 8 7 7 7 7 8 8 8 8 9
+3 w2 w3 +1 eos w1 eos w1 +3 -3 -1 -1	0 3 4	0 3 4
mid. w3 w3 -2 fin. -1 rep. eos rep. ini. -3 eos w2 eos +3 rep. w3 w2 mid.	0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9	0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9
+1 +2 +3 w3 w3 ini. eos rep. w1 w2 -3 mid.	0 1 3 3 3 3 4 4 4 4 5 0 1 3 3 3 3 4 4 4 4 5 0 1	0 1 3 3 3 3 4 4 4 4 5 0 1 3 3 3 3 4 4 4 4 5 0 1
+1 mid. w2 eos w3 -3 +2 eos +1 mid. mid. mid.	0 1 5 2 2 2 3	0 1 5 2 2 2 3
mid. -1 mid. w1 -1 -2 w1 eos -1 -3 eos eos -2 rep. +2 +2 w2 mid.	0 8 7	0 8 7
w3 w3 +3 rep. eos +2 w1 eos -3 ini. ini. w2 -2 -3 w3 mid.	0 0 0 0 1 1 1 1 2 5 7	0 0 0 0 1 1 1 1 2 5 7
w2 mid. mid. eos +3 eos fin. eos w1 mid. mid. -3	0 0 0 1 5	0 0 0 1 5
mid. +2 mid. +1 eos -3 ini. +2 rep. eos eos w3 -1 w3 +1 ini. -2 -3 -2	0 9	0 9
w3 mid. w2 fin. fin. +2 +3 eos eos ini. -1 -2 +1 w1 ini. +3 mid. w3 mid.	0 0 0 0 1 9 0 0 0 0 1 9 0 0 0 0 1 9 0 0 0 0 1 9	0 0 0 0 1 9 0 0 0 0 1 9 0 0 0 0 1 9 0 0 0 0 1 9
mid. +1 w1 -2 w3 -1 eos +3 -2 +2 w3 fin. +1 w1 -2 mid.	0 7 10 10 10 10 11 15 7 10 10 10 10 11 15 7 10 10 10 10 11 15 7 10	0 7 10 10 10 10 11 15 7 10 10 10 10 11 15 7 10 10 10 10 11 15 7 10
+2 +3 -1 ini. fin. w2 +1 eos -1 eos -2 w1 w3 rep. eos -3 mid. mid.	0 2 1 4 17 8 7	0 2 1 4 17 8 7
w2 w3 -1 -3 eos w3 +1 w1 rep. -1 rep. eos +1 +3 mid. mid. mid.	0 0 0 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1	0 0 0 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1
+1 w2 +1 w2 w1 +1 +3 eos eos eos +1 +2 eos eos rep. rep. -3 mid. mid.	0 1 1 1 2 3 3 3 4 4 5 6 9	0 1 1 1 2 3 3 3 4 4 5 6 9
w2 mid. +2 w3 +3 w2 -1 eos +1 +3 w3 w3 ini. ini. eos +2 -1 w3 w2 mid.	0 0 0 1 9 12 0 0 0 1 9 12 0 0 0 1 9 12 0 0 0 1 9 12	0 0 0 1 9 12 0 0 0 1 9 12 0 0 0 1 9 12 0 0 0 1 9 12
w3 w2 -2 -2 -1 eos eos eos ini. -2 mid. mid. mid.	0 0 0 0 1 1 1 2 0 0 0 0 1 1 1 2 0 0 0 0 1 1 1 2	0 0 0 0 1 1 1 2 0 0 0 0 1 1 1 2 0 0 0 0 1 1 1 2
+1 mid. w3 eos eos eos -3 eos +3 -3 w2 mid.	0 1 5	0 1 5
w1 w1 w3 +3 eos eos eos eos mid. mid. -2	0 0 1 1 2 2 2 2 3 6	0 0 1 1 2 2 2 2 3 6
mid. w3 +3 eos fin. w1 +1 fin. eos w2 ini. +1 -2 +3 w1 w2 w2 -1 mid.	0 9 9 9 10 0 9 9 9 10 0 9 9 9 10 0 9 9 9 10 0 9 9 9	0 9 9 9 10 0 9 9 9 10 0 9 9 9 10 0 9 9 9 10 0 9 9 9
+1 +2 mid. rep. eos w2 eos +2 rep. rep. +3 +2 mid. mid.	0 1 3 5 5 5 6	0 1 3 5 5 5 6
+1 +2 mid. w1 fin. eos ini. +3 eos ini. +2 w1 -1	0 1 3 3 4 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12	0 1 3 3 4 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12 11 11 12
+3 +3 w2 rep. -2 fin. +1 rep. w2 -2 +2 -3 +3 +1 w3 mid.	0 3 6 7 8 8 8 9 7 5 15 7 7 7 7 7 7 7 7 7 7 7 7 7	0 3 6 7 8 8 8 9 7 5 15 7 7 7 7 7 7 7 7 7 7 7 7 7
w1 w2 +3 +3 rep. rep. +3 w3 fin. ini. +1 fin. -1 ini. -1 mid. w2 -2	0 0 1 1 1 2 5 8 17 15 8 17 15 8 17 15 8 17 15 8 17 15 8 17	0 0 1 1 1 2 5 8 17 15 8 17 15 8 17 15 8 17 15 8 17 15 8 17
+3 -1 w1 -1 +3 -3 rep. rep. eos w3 fin. w3 w1 -3	0 3 2 2 3 2 2 3 2 2 3 2 2 3 2 2 3 2 2 3 2 2 3 2	0 3 2 2 3 2 2 3 2 2 3 2 2 3 2 2 3 2 2 3 2 2 3 2
+2 -1 w3 -1 eos -3 +2 +2 fin. -1 eos w2 w1 +2 -3 mid.	0 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2 2	0 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2 2 2 3 2 2 2
+2 mid. +3 ini. eos ini. rep. w1 eos +3 w2 eos +1 w1 mid.	0 2 5 0 2 5 0 2 5 0 2 5 0 2 5 0 2 5 0 2 5 0 2 5	0 2 5 0 2 5 0 2 5 0 2 5 0 2 5 0 2 5 0 2 5 0 2 5
mid. w3 w1 ini. +1 -3 ini. +3 w2 w1 w3 +2 +1 +1 -1	0 7 10 10 10 10 11 13 14 13 14 13 14 13 14 13 14 13 14 13 14 13 14 13	0 7 10 10 10 10 11 13 14 13 14 13 14 13 14 13 14 13 14 13 14 13 14 13
+1 w1 w1 eos rep. eos -3 +3 -3 w2 -3	0 1 1 2 2 3	0 1 1 2 2 3
w2 +3 +2 -2 ini. eos w3 eos eos w3 w3 -2	0 0 0 1 4 0 0 0 1 4 0 0 0 1 4 0 0 0 1 4 0 0 0 1	0 0 0 1 4 0 0 0 1 4 0 0 0 1 4 0 0 0 1 4 0 0 0 1
mid. w1 mid. eos -3 eos ini. w1 +2 eos eos -1 w1 w3 mid.	0 7 7 8 10	0 7 7 8 10
+2 -1 w1 -2 -1 w2 w1 w2 fin. -1 w1 -3 w2 mid. w3 -1	0 2 2 3 1 0 2 2 3 1 0 2 2 3 1 0 2 2 3 1 0 2 2 3	0 2 2 3 1 0 2 2 3 1 0 2 2 3 1 0 2 2 3 1 0 2 2 3
+1 w3 -1 -2 +2 w2 -1 +2 +1 -3 -2 fin. rep. w3 -3 -1 -3	0 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1	0 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 2 1 1 1
mid. +3 w3 eos -3 w2 rep. w1 -3 eos +2 rep. -1 +2 +2 w3 -1 -3	0 8 5 5 5 6 6 6 7 7 8 5 5 5 6 6 6 7 7 8 5 5 5 6	0 8 5 5 5 6 6 6 7 7 8 5 5 5 6 6 6 7 7 8 5 5 5 6
w1 w1 mid. +2 w1 eos fin. eos -3 w2 eos -2 mid. -1	0 0 1 1 2 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12 6	0 0 1 1 2 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12 6 13 12 6
mid. +2 mid. eos rep. eos w1 eos w1 w2 -2 +3 +2 w2 eos w3 w1 mid.	0 8 8 9 9 9 10 8 8 9 9 9 10 8 8 9 9 9 10 8 8 9 9 9	0 8 8 9 9 9 10 8 8 9 9 9 10 8 8 9 9 9 10 8 8 9 9 9
+3 w1 -2 eos w3 fin. w3 w1 eos +2 -2 w1 eos eos w2 +1 mid. mid.	0 3	0 3
+1 w3 mid. ini. +2 +2 w2 fin. w2 +2 -2 -1 -3	0 1 1 1 1 2 6 6 6 7 12 9 11 10 8 8 8 9 11 10 8 8 8 9	0 1 1 1 1 2 6 6 6 7 12 9 11 10 8 8 8 9 11 10 8 8 8 9
mid. +1 +3 w3 ini. w3 -3 eos eos eos rep. w2 -1 eos w2 mid. mid.	0 8	0 8
w3 +1 +2 ini. eos +2 eos +3 eos eos eos -1 w2 -1	0 0 0 0 1 2 4	0 0 0 0 1 2 4
w1 mid. -2 eos eos rep. w3 -3 mid. w2 mid.	0 0 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5	0 0 1 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
mid. w3 mid. ini. -3 +2 +3 +1 w1 fin. eos fin. mid. +1 mid.	0 7 8 8 9 14 7 8 8 9 14 7 8 8 9 14 7 8 8 9 14 7 8 8	0 7 8 8 9 14 7 8 8 9 14 7 8 8 9 14 7 8 8 9 14 7 8 8
w3 +3 -2 -2 eos w1 +3 fin. eos eos -1 w1 eos -2 w2 mid. mid.	0 0 0 0 1 4	0 0 0 0 1 4
+3 w2 +3 +2 eos -1 +3 -1 fin. -1 +1 +2 +1 eos -2 +3 -2 -2 -3	0 3 5 4	0 3 5 4
mid. +1 mid. fin. mid. eos +3 w3 eos w1 -1 mid. -1	0 6 9 9 10 9 9 10 9 9 10 9 9 10 9 9 10 9 9 10 9 9 10 9	0 6 9 9 10 9 9 10 9 9 10 9 9 10 9 9 10 9 9 10 9 9 10 9
